species,num_qp
Akkermansia_muciniphila_55200,25
Alistipes_finegoldii_56071,45
Alistipes_onderdonkii_55464,62
Alistipes_putredinis_61533,41
Alistipes_shahii_62199,58
Bacteroidales_bacterium_58650,31
Bacteroides_caccae_53434,35
Bacteroides_cellulosilyticus,35
Bacteroides_fragilis_5507,31
Bacteroides_massiliensis_44749,13
Bacteroides_ovatus_58035,51
Bacteroides_stercoris,71
Bacteroides_thetaiotaomicron_56941,67
Bacteroides_uniformis_57318,88
Bacteroides_vulgatus_57955,44
Bacteroides_xylanisolvens_57185,50
Barnesiella_intestinihominis_62208,50
Coprococcus_sp_62244,10
Dialest_invisus_61905,36
Eubacterium_eligens_61678,25
Eubacterium_rectale_56927,74
Faecalibacterium_prausnitzii_57453,30
Odoribacter_splanchnicus_62174,32
Oscillibacter_sp_60799,47
Parabacteroides_distasonis_56985,40
Parabacteroides_merdae_56972,43
Phasolarctobacterium_sp_59817,17
Prevotella_copri_61740,15
Ruminococcus_bicirculans_59300,71
Ruminococcus_bromii_62047,36
